[INFO] 2022-10-24 12:15:07,775 org.springframework.web.context.ContextLoader initWebApplicationContext - Root WebApplicationContext: initialization started
[INFO] 2022-10-24 12:15:08,894 org.springframework.web.context.ContextLoader initWebApplicationContext - Root WebApplicationContext initialized in 1116 ms
[INFO] 2022-10-24 12:15:08,928 org.springframework.web.servlet.DispatcherServlet initServletBean - Initializing Servlet 'appServlet'
[INFO] 2022-10-24 12:15:09,521 org.springframework.web.servlet.DispatcherServlet initServletBean - Completed initialization in 593 ms
[INFO] 2022-10-24 12:15:26,765 org.springframework.web.context.ContextLoader initWebApplicationContext - Root WebApplicationContext: initialization started
[INFO] 2022-10-24 12:15:27,717 org.springframework.web.context.ContextLoader initWebApplicationContext - Root WebApplicationContext initialized in 948 ms
[INFO] 2022-10-24 12:15:27,748 org.springframework.web.servlet.DispatcherServlet initServletBean - Initializing Servlet 'appServlet'
[INFO] 2022-10-24 12:15:28,304 org.springframework.web.servlet.DispatcherServlet initServletBean - Completed initialization in 556 ms
[INFO] 2022-10-24 13:35:10,947 org.springframework.web.context.ContextLoader initWebApplicationContext - Root WebApplicationContext: initialization started
[INFO] 2022-10-24 13:35:12,068 org.springframework.web.context.ContextLoader initWebApplicationContext - Root WebApplicationContext initialized in 1119 ms
[INFO] 2022-10-24 13:35:12,102 org.springframework.web.servlet.DispatcherServlet initServletBean - Initializing Servlet 'appServlet'
[INFO] 2022-10-24 13:35:12,699 org.springframework.web.servlet.DispatcherServlet initServletBean - Completed initialization in 597 ms
[INFO] 2022-10-24 13:36:37,133 org.springframework.web.context.ContextLoader initWebApplicationContext - Root WebApplicationContext: initialization started
[INFO] 2022-10-24 13:36:38,254 org.springframework.web.context.ContextLoader initWebApplicationContext - Root WebApplicationContext initialized in 1118 ms
[INFO] 2022-10-24 13:36:38,288 org.springframework.web.servlet.DispatcherServlet initServletBean - Initializing Servlet 'appServlet'
[INFO] 2022-10-24 13:36:38,875 org.springframework.web.servlet.DispatcherServlet initServletBean - Completed initialization in 587 ms
[INFO] 2022-10-24 13:49:57,603 org.springframework.web.context.ContextLoader initWebApplicationContext - Root WebApplicationContext: initialization started
[INFO] 2022-10-24 13:49:58,726 org.springframework.web.context.ContextLoader initWebApplicationContext - Root WebApplicationContext initialized in 1120 ms
[INFO] 2022-10-24 13:49:58,760 org.springframework.web.servlet.DispatcherServlet initServletBean - Initializing Servlet 'appServlet'
[INFO] 2022-10-24 13:49:59,349 org.springframework.web.servlet.DispatcherServlet initServletBean - Completed initialization in 589 ms
[INFO] 2022-10-24 13:51:13,646 org.springframework.web.context.ContextLoader initWebApplicationContext - Root WebApplicationContext: initialization started
[INFO] 2022-10-24 13:51:14,787 org.springframework.web.context.ContextLoader initWebApplicationContext - Root WebApplicationContext initialized in 1138 ms
[INFO] 2022-10-24 13:51:14,820 org.springframework.web.servlet.DispatcherServlet initServletBean - Initializing Servlet 'appServlet'
[INFO] 2022-10-24 13:51:15,410 org.springframework.web.servlet.DispatcherServlet initServletBean - Completed initialization in 590 ms
[INFO] 2022-10-24 13:52:33,788 org.springframework.web.context.ContextLoader initWebApplicationContext - Root WebApplicationContext: initialization started
[INFO] 2022-10-24 13:52:34,895 org.springframework.web.context.ContextLoader initWebApplicationContext - Root WebApplicationContext initialized in 1104 ms
[INFO] 2022-10-24 13:52:34,929 org.springframework.web.servlet.DispatcherServlet initServletBean - Initializing Servlet 'appServlet'
[INFO] 2022-10-24 13:52:35,515 org.springframework.web.servlet.DispatcherServlet initServletBean - Completed initialization in 586 ms
[INFO] 2022-10-24 13:52:56,379 org.springframework.web.context.ContextLoader initWebApplicationContext - Root WebApplicationContext: initialization started
[INFO] 2022-10-24 13:52:57,484 org.springframework.web.context.ContextLoader initWebApplicationContext - Root WebApplicationContext initialized in 1102 ms
[INFO] 2022-10-24 13:52:57,521 org.springframework.web.servlet.DispatcherServlet initServletBean - Initializing Servlet 'appServlet'
[INFO] 2022-10-24 13:52:58,108 org.springframework.web.servlet.DispatcherServlet initServletBean - Completed initialization in 587 ms
[INFO] 2022-10-24 13:54:34,409 org.springframework.web.context.ContextLoader initWebApplicationContext - Root WebApplicationContext: initialization started
[INFO] 2022-10-24 13:54:35,517 org.springframework.web.context.ContextLoader initWebApplicationContext - Root WebApplicationContext initialized in 1105 ms
[INFO] 2022-10-24 13:54:35,550 org.springframework.web.servlet.DispatcherServlet initServletBean - Initializing Servlet 'appServlet'
[INFO] 2022-10-24 13:54:36,155 org.springframework.web.servlet.DispatcherServlet initServletBean - Completed initialization in 604 ms
[INFO] 2022-10-24 13:56:28,494 org.springframework.web.context.ContextLoader initWebApplicationContext - Root WebApplicationContext: initialization started
[INFO] 2022-10-24 13:56:29,645 org.springframework.web.context.ContextLoader initWebApplicationContext - Root WebApplicationContext initialized in 1149 ms
[INFO] 2022-10-24 13:56:29,678 org.springframework.web.servlet.DispatcherServlet initServletBean - Initializing Servlet 'appServlet'
[INFO] 2022-10-24 13:56:30,256 org.springframework.web.servlet.DispatcherServlet initServletBean - Completed initialization in 577 ms
[INFO] 2022-10-24 16:03:17,929 org.springframework.web.context.ContextLoader initWebApplicationContext - Root WebApplicationContext: initialization started
[INFO] 2022-10-24 16:03:19,071 org.springframework.web.context.ContextLoader initWebApplicationContext - Root WebApplicationContext initialized in 1139 ms
[INFO] 2022-10-24 16:03:19,108 org.springframework.web.servlet.DispatcherServlet initServletBean - Initializing Servlet 'appServlet'
[INFO] 2022-10-24 16:03:19,730 org.springframework.web.servlet.DispatcherServlet initServletBean - Completed initialization in 621 ms
